"MOD_ID","CV_URL","Errors"
"10",,"Failed to extract text from CV"
"14",,"Failed to extract data from text"
"16",,"Failed to extract data from text"
"17",,"Failed to extract data from text"
"8",,"Failed to extract data from text"
"7",,"Failed to extract data from text"
"13",,"Failed to extract data from text"
